log_index,frame_index,x,y,at_intersection,heading_angle,one_way,lanes_to_left,lanes_to_right,num_lanes_to_left,num_lanes_to_right,num_opp_lanes,total_lanes,intersection_code_1,main_road_continues_1,distance_1,intersection_code_2,main_road_continues_2,distance_2,curvature_radius,is_road_curved,is_left_side_road,is_right_side_road,distance_to_intersection_1,drive_num_lanes_to_right,drive_num_lanes_to_left
22160544-2216-2216-2216-722161741824,0,308.8284173144092,3573.6745788109706,-99999,0.0928381751218731,False,1,0,1,0,1,2,3,1,4.602022184378601,0,-1,-99999.0,-99999.0,0,1,1,4.602022184378601,0,0
22160544-2216-2216-2216-722161741824,1,308.83420494956033,3573.675326736464,-99999,0.0928381751218731,False,1,0,1,0,1,2,3,1,4.602022184378601,0,-1,-99999.0,-99999.0,0,1,1,4.602022184378601,0,0
22160544-2216-2216-2216-722161741824,2,308.84772282130183,3573.6753993711736,-99999,0.030304566337667562,False,1,0,1,0,1,2,3,1,4.602022184378601,0,-1,-99999.0,-99999.0,0,1,1,4.602022184378601,0,0
22160544-2216-2216-2216-722161741824,3,308.8800037702838,3573.6761921281304,-99999,0.011124641764853066,False,1,0,1,0,1,2,3,1,4.602022184378601,0,-1,-99999.0,-99999.0,0,1,1,4.602022184378601,0,0
22160544-2216-2216-2216-722161741824,4,308.9211896724281,3573.676314244482,-99999,0.03271275530801062,False,1,0,1,0,1,2,3,1,4.602022184378601,0,-1,-99999.0,-99999.0,0,1,1,4.602022184378601,0,0
22160544-2216-2216-2216-722161741824,5,308.994056748731,3573.6765329444593,-99999,0.032676404136639935,False,1,0,1,0,1,2,3,1,4.602022184378601,0,-1,-99999.0,-99999.0,0,1,1,4.602022184378601,0,0
22160544-2216-2216-2216-722161741824,6,309.0712952905849,3573.676353802273,-99999,0.037997082853894144,False,1,0,1,0,1,2,3,1,4.602022184378601,0,-1,-99999.0,-99999.0,0,1,1,4.602022184378601,0,0
22160544-2216-2216-2216-722161741824,7,309.1782588980002,3573.676515234561,-99999,0.034168525164767566,False,1,0,1,0,1,2,3,1,4.602022184378601,0,-1,-99999.0,-99999.0,0,1,1,4.602022184378601,0,0
22160544-2216-2216-2216-722161741824,8,309.2991442248458,3573.676406160518,-99999,0.03658004354403177,False,1,0,1,0,1,2,3,1,4.602022184378601,0,-1,-99999.0,-99999.0,0,1,1,4.602022184378601,0,0
22160544-2216-2216-2216-722161741824,9,309.4482460062441,3573.6764395128407,-99999,0.035454062019406166,False,1,0,1,0,1,2,3,1,4.602022184378601,0,-1,-99999.0,-99999.0,0,1,1,4.602022184378601,0,0
22160544-2216-2216-2216-722161741824,10,309.62093391593885,3573.677341378333,-99999,0.03045528107758292,False,1,0,1,0,1,2,3,1,4.602022184378601,0,-1,-99999.0,-99999.0,0,1,1,4.602022184378601,0,0
22160544-2216-2216-2216-722161741824,11,309.8144272950508,3573.6764564823875,-99999,0.04025098056568152,False,1,0,1,0,1,2,3,1,4.602022184378601,0,-1,-99999.0,-99999.0,0,1,1,4.602022184378601,0,0
22160544-2216-2216-2216-722161741824,12,310.03110477213875,3573.6748153108,-99999,0.0432518656501176,False,1,0,1,0,1,2,3,1,3.0664396545769748,0,-1,-99999.0,-99999.0,0,1,1,3.0664396545769748,0,0
22160544-2216-2216-2216-722161741824,13,310.2677679394392,3573.6748603251203,-99999,0.03548754613807579,False,1,0,1,0,1,2,3,1,3.0664396545769748,0,-1,-99999.0,-99999.0,0,1,1,3.0664396545769748,0,0
22160544-2216-2216-2216-722161741824,14,310.5305424775136,3573.6742550689028,-99999,0.03798107524509736,False,1,0,1,0,1,2,3,1,3.0664396545769748,0,-1,-99999.0,-99999.0,0,1,1,3.0664396545769748,0,0
22160544-2216-2216-2216-722161741824,15,310.7899618645924,3573.67126330378,-99999,0.0472097816309548,False,1,0,1,0,1,2,3,1,3.0664396545769748,0,-1,-99999.0,-99999.0,0,1,1,3.0664396545769748,0,0
